CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11000,MR.,TIYA,CHACKO,15-09-1990,N,M,ctaneja@hotmail.com,2597920,3,Masters,Lawyer,N
11001,MS.,RASHA,SAGAR,14-10-1983,Y,F,zainamammen@yahoo.com,1964184,3,PhD,Nurse,N
11002,MRS.,RIAAN,CHADA,09-01-2004,N,M,vritika84@yahoo.com,1747140,3,Masters,Consultant,Y
11003,DR.,ADAH,KARI,16-01-1962,N,M,jivikamani@karan-buch.com,873811,0,Masters,Engineer,N
11004,MR.,DRISHYA,KRISHNAMURTHY,22-02-1974,Y,F,chaudharynirvaan@kashyap-vig.com,748825,5,Masters,Manager,Y
11005,MR.,HEER,KAPOOR,18-04-1959,N,F,wallatejas@yahoo.com,2114998,5,Diploma,Lawyer,N
11006,MRS.,REYANSH,LAL,30-09-1988,Y,M,arnav83@balan-kurian.com,2785089,2,Bachelors,Doctor,Y
11007,DR.,PURAB,SAMI,03-03-1974,Y,F,nirvisachar@iyer.net,2459806,2,PhD,Lawyer,Y
11008,MISS,TARAN,DIVAN,29-05-1993,N,M,elakshi18@kapoor-loke.com,867654,0,Bachelors,Architect,Y
11009,MR.,VIDUR,RAMACHANDRAN,23-04-1996,Y,M,elayohannan@sodhi.net,2998141,2,Masters,Consultant,N
11010,MS.,FAIYAZ,SURI,03-08-1963,Y,F,reneesaraf@hotmail.com,2737615,2,Masters,Engineer,N
11011,MR.,SHAYAK,SRINIVAS,31-05-1977,Y,F,ndubey@yahoo.com,2993356,0,Diploma,Teacher,Y
11012,DR.,ALIA,RAVAL,06-09-1981,N,M,aarush73@hotmail.com,2361998,2,Bachelors,Doctor,N
11013,MISS,SAANVI,SODHI,23-09-1963,N,F,raunaklalla@gmail.com,1957799,5,PhD,Nurse,Y
11014,MRS.,KASHVI,MADAN,20-10-1960,Y,F,udugar@chada-deo.com,1953850,4,Bachelors,Scientist,Y
11015,DR.,ANVI,SACHDEV,22-12-1970,N,M,lavanya36@hotmail.com,1036720,5,Diploma,Scientist,Y
11016,MS.,SHALV,SHUKLA,16-09-2002,N,F,ramanathandishani@garg-gade.info,864328,1,High School,Teacher,N
11017,DR.,URVI,BHAT,06-01-1981,Y,M,myrasane@chopra.biz,1479180,3,Diploma,Lawyer,Y
11018,DR.,SANA,DANI,23-02-1967,Y,M,bhatiarasha@yahoo.com,2907448,1,Diploma,Teacher,N
11019,MISS,ISHITA,BHALLA,21-10-2006,Y,M,zkarnik@chaudry.com,662816,5,High School,Engineer,Y
11020,MRS.,IVAN,GOPAL,26-06-1972,N,M,keya08@raman.com,2734186,5,High School,Teacher,N
11021,MISS,JIVIN,DEWAN,10-09-1993,Y,F,yohannanelakshi@kothari.info,2164424,2,Diploma,Architect,Y
11022,MRS.,AMANI,DHAR,30-06-1990,N,F,arnav57@sibal.com,1154523,4,Diploma,Manager,N
11023,MS.,JHANVI,BRAR,11-05-2006,N,F,gkuruvilla@gmail.com,1083968,3,Bachelors,Lawyer,N
11024,MS.,SHANAYA,RAMA,28-08-1964,Y,F,dhillonemir@dua-balan.net,503254,3,Masters,Architect,Y
